ID CLIENTE,Año,Mes,Localidad,Plan,Ruta,Folio,E.m.,Nombre o Razón Social,Domicilio de Suministro,Actividad principal,CUIT,Nivel de Tensión,Tensión,Cap.Sum.Contratadas Pico,Cap.Sum.Contratadas F.Pico,Potencia Registrada Pico,Potencia Registrada F.Pico,Consumos Energía Activa Pico,Consumos Energía Activa Resto,Consumos Energía Activa Valle,Total Consumos,Energía Reactiva,Tangente FI,Coseno FI,Tarifa Aplicada,M2,M3,Id
700002087,2019,1,ROSARIO,88,8050,1171,0,MUN. DE ROSARIO DARS. CABOTAJE,ESTACION FLUVIAL,Organismo Municipal,30-99900315-6,BT,0,,,,,0,0,0,0,0,,,,,,73850249
700000977,2019,1,ROSARIO,88,8050,2255,0,MUN. DE ROSARIO BIBL.ARGENTINA,PTE. ROCA 731          ,Organismo Municipal,30-99900315-6,BT,0,,,,,0,0,0,0,1080,,,,,,186905809
700002073,2019,1,ROSARIO,96,8050,2158,0,MUN. DE ROSARIO LA COMEDIA,PJE. ARAYA 955,Organismo Municipal,30-99900315-6,BT,0,,,,,1209,1823,32,3064,1890,,,,,,186984804
700000961,2019,1,ROSARIO,88,8050,1202,0,MUN. DE ROSARIO PLANETARIO,MONTEVIDEO NO 101-BIS  ,Organismo Municipal,30-99900315-6,BT,0,,,,,550,1950,600,3100,2700,,,,,,186984813
700002752,2019,1,ROSARIO,96,8050,1805,0,MUN. DE ROSARIO TALLERES CTRAL,MONTEVIDEO 2973,Organismo Municipal,30-99900315-6,BT,0,,,,,270,2910,300,3480,1890,,,,,,187059331
700003090,2019,1,ROSARIO,96,8050,1409,0,MUN. DE ROSARIO ESTADIO HOCKEY,SUINDA Y JACOBACCI,Entidad Social y Deportiva - Club,30-99900315-6,BT,0,,,,,720,2520,1080,4320,4440,,,,,,187140940
700000967,2019,1,ROSARIO,96,8050,1822,0,MUN. DE ROSARIO ESTADIO MUNIC.,OV. LAGOS Y LA PAZ     ,Organismo Municipal,30-99900315-6,BT,0,,,,,1800,2100,1750,5650,3950,,,,,,187199201
700002505,2019,1,ROSARIO,96,8050,982,0,MUN. DE ROSARIO S.I.E.S.,PELLEGRINI 2950,Centro Asistencial,30-99900315-6,BT,0,,,,,930,4500,1200,6630,4050,,,,,,187354052
700003058,2019,1,ROSARIO,88,8050,1088,0,MUN. DE ROSARIO MUSEO MEMORIA,CORDOBA 2019,Organismo Municipal,30-99900315-6,BT,0,,,,,540,5880,360,6780,16296,,,,,,187592426
700000971,2019,1,ROSARIO,96,8050,1846,0,MUN. DE ROSARIO MUS.CASTAGNINO,BV. ORONO Y AV. PELLEGRINI,Organismo Municipal,30-99900315-6,BT,0,,,,,1980,4320,780,7080,1320,,,,,,188292588
