osm_id,code,fclass,name,type,area,_mean,usable_sr,elec_prod,elec_consu,rene_elec
"73850249","1500",building,Planetario Municipal Luis Cándido Carballo,civic,1455.921,1805.064941406249773,2628031.955,339016.122,3100.00,335916.122
"186905809","1500",building,,,378.318,1812.005004882812500,685514.109,88431.320,5650.00,82781.320
"186984804","1500",building,La Isla de los Inventos,,4987.233,1809.870028576002596,9026243.532,1164385.416,30597.00,1133788.416
"186984813","1500",building,Distrito Centro Antonio Berni,commercial,3661.317,1810.178955078125000,6627638.981,854965.429,67668.00,787297.429
"187059331","1500",building,,,127.973,1808.718017578125000,231467.071,29859.252,7460.00,22399.252
"187140940","1500",building,,,155.101,1812.735961914062727,281157.160,36269.274,,
"187199201","1500",building,Museo de Arte Contemporáneo Rosario,civic,624.068,1812.909821711262339,1131379.007,145947.892,7153.00,138794.892
"187354052","1500",building,Centro César Blanco,,1016.183,1804.699951171875000,1833905.410,236573.798,4320.00,232253.798
"187592426","1500",building,Centro Cultural Roberto Fontanarrosa,civic,1523.969,1810.032722910085113,2758433.759,355837.955,7840.00,347997.955
"188292588","1500",building,Dirección de Imprenta y Publicaciones,commercial,6959.763,1812.005004882812500,12611125.380,1626835.174,3480.00,1623355.174
"188703950","1500",building,Banco Municipal,commercial,1512.336,1809.083007812500000,2735941.360,352936.435,75000.00,277936.435
"189141743","1500",building,Distrito Oeste Pelipe Moré,commercial,2416.575,1808.718017578125000,4370902.743,563846.454,22600.00,541246.454
"2625272","1500",building,,hospital,9521.074,1811.295210622389959,17245475.730,2224666.369,414480.00,1810186.369
"2637809","1500",building,Aduana,public,2546.941,1807.256958007812273,4602976.844,593784.013,60800.00,532984.013
"274550037","1500",building,Distrito Sur Rosa Ziperovich,commercial,3025.457,1810.612790233675014,5477931.141,706653.117,63820.00,642833.117
"275609545","1500",building,,,489.039,1811.640014648437500,885962.621,114289.178,96280.00,18009.178
"285089962","1500",building,,commercial,997.172,1818.944946289062500,1813800.970,233980.325,22020.00,211960.325
"292967092","1500",building,Institución de educación 1391,hospital,309.979,1813.465942382812273,562136.359,72515.590,188580.00,-116064.410
"294344975","1500",building,,commercial,804.772,1812.369995117187500,1458544.626,188152.257,15060.00,173092.257
"317963427","1500",building,Estación Rosario Norte,train_station,1485.140,1814.105887147426984,2694201.217,347551.957,15582.00,331969.957
"4859945","1500",building,Centro Municipal de Distrito Noroeste Olga y Leticia Cossettini,,3742.433,1810.910034179687500,6777209.472,874260.022,43800.00,830460.022
"344299303","1500",building,,,925.881,1809.813964843750000,1675672.364,216161.735,,
"5295124","1500",building,,public,136.147,1806.206104842120794,245909.543,31722.331,6780.00,24942.331
"376556264","1500",building,,industrial,1043.770,1803.969970703125000,1882929.736,242897.936,10344.00,232553.936
"5623942","1500",building,City Hall,commercial,1188.102,1805.099148702043294,2144641.909,276658.806,66000.00,210658.806
"377512865","1500",building,,hospital,1288.221,1818.602363285085858,2342761.755,302216.266,24936.00,277280.266
"5633280","1500",building,,civic,1202.333,1813.100952148437273,2179951.107,281213.693,7080.00,274133.693
"386969183","1500",building,,,260.701,1812.005004882812273,472391.517,60938.506,6630.00,54308.506
"419744012","1500",building,,,1058.753,1806.161010742187500,1912278.389,246683.912,17310.00,229373.912
"6680160","1500",building,,,2532.146,1808.353027343750000,4579013.885,590692.791,10080.00,580612.791
"471579796","1500",building,,,1288.879,1810.910034179687727,2334043.914,301091.665,39534.00,261557.665
"540449579","1500",building,,,2003.249,1811.275024414062500,3628434.881,468068.100,,
"561642330","1500",building,,,1145.885,1804.334960937500000,2067560.367,266715.287,10320.00,256395.287
"901759643","1500",building,,,717.588,1810.543945312500000,1299224.609,167599.975,3064.00,164535.975
"906343949","1500",building,,,599.455,1809.083007812500227,1084463.854,139895.837,11670.00,128225.837
"908554200","1500",building,,,412.273,1809.081946252293619,745835.641,96212.798,8178.00,88034.798
"909719387","1500",building,,,351.193,1809.083007812500227,635337.289,81958.510,10800.00,71158.510
